training_iteration,number_of_agents_mean,number_of_airports_mean,malfunction_rate_mean,number_of_initial_cargo_mean,dynamic_cargo_generated_mean
1,1.0,3.0,0.0,2.0,0.0
2,1.0,3.0,0.0,2.0,0.0
3,1.0,3.0,0.0,2.0,0.0
4,1.0,3.0,0.0,2.0,0.0
5,1.0,3.0,0.0,2.0,0.0
6,1.0,3.0,0.0,2.0,0.0
7,1.0,3.0,0.0,2.0,0.0
8,1.0,3.0,0.0,2.0,0.0
9,1.0,3.0,0.0,2.0,0.0
10,1.0,3.0,0.0,2.0,0.0
11,1.0,3.0,0.0,2.0,0.0
12,1.0,3.0,0.0,2.0,0.0
13,1.0,3.0,0.0,2.0,0.0
14,1.0,3.0,0.0,2.0,0.0
15,1.0,3.0,0.0,2.0,0.0
16,1.0,3.0,0.0,2.0,0.0
17,1.0,3.0,0.0,2.0,0.0
18,1.0,3.0,0.0,2.0,0.0
19,1.0,3.0,0.0,2.0,0.0
20,1.0,3.0,0.0,2.0,0.0
21,1.0,3.0,0.0,2.0,0.0
22,1.0,3.0,0.0,2.0,0.0
23,1.0,3.0,0.0,2.0,0.0
24,1.0,3.0,0.0,2.0,0.0
25,1.0,3.0,0.0,2.0,0.0
26,1.0,3.0,0.0,2.0,0.0
27,1.0,3.0,0.0,2.0,0.0
28,1.0,3.0,0.0,2.0,0.0
29,1.0,3.0,0.0,2.0,0.0
30,1.0,3.0,0.0,2.0,0.0
31,1.0,3.0,0.0,2.0,0.0
32,1.0,3.0,0.0,2.0,0.0
33,1.0,3.0,0.0,2.0,0.0
34,1.0,3.0,0.0,2.0,0.0
35,1.0,3.0,0.0,2.0,0.0
36,1.0,3.0,0.0,2.0,0.0
37,1.0,3.0,0.0,2.0,0.0
38,1.0,3.0,0.0,2.0,0.0
39,1.0,3.0,0.0,2.0,0.0
40,1.0,3.0,0.0,2.0,0.0
41,1.0,3.0,0.0,2.0,0.0
42,1.0,3.0,0.0,2.0,0.0
43,1.0,3.0,0.0,2.0,0.0
44,1.0,3.0,0.0,2.0,0.0
45,1.0,3.0,0.0,2.0,0.0
46,1.0,3.0,0.0,2.0,0.0
47,1.0,3.0,0.0,2.0,0.0
48,1.0,3.0,0.0,2.0,0.0
49,1.0,3.0,0.0,2.0,0.0
50,1.0,3.0,0.0,2.0,0.0
51,1.0,3.0,0.0,2.0,0.0
52,1.0,3.0,0.0,2.0,0.0
53,1.0,3.0,0.0,2.0,0.0
54,1.0,3.0,0.0,2.0,0.0
55,1.0,3.0,0.0,2.0,0.0
56,1.0,3.0,0.0,2.0,0.0
57,1.0,3.0,0.0,2.0,0.0
58,1.0,3.0,0.0,2.0,0.0
59,1.0,3.0,0.0,2.0,0.0
60,1.0,3.0,0.0,2.0,0.0
61,1.0,3.0,0.0,2.0,0.0
62,1.0,3.0,0.0,2.0,0.0
63,1.0,3.0,0.0,2.0,0.0
64,1.0,3.0,0.0,2.0,0.0
65,1.0,3.0,0.0,2.0,0.0
66,1.0,3.0,0.0,2.0,0.0
67,1.0,3.0,0.0,2.0,0.0
68,1.0,3.0,0.0,2.0,0.0
69,1.0,3.0,0.0,2.0,0.0
70,1.0,3.0,0.0,2.0,0.0
71,1.0,3.0,0.0,2.0,0.01
72,1.0,3.0,0.0,2.0,0.02
73,1.0,3.0,0.0,2.0,0.04
74,1.0,3.0,0.0,2.0,0.04
75,1.0,3.0,0.0,2.0,0.07
76,1.0,3.0,0.0,2.0,0.09
77,1.0,3.0,0.0,2.0,0.1
78,1.0,3.0,0.0,2.0,0.14
79,1.0,3.0,0.0,2.0,0.16
80,1.0,3.0,0.0,2.0,0.19
81,1.0,3.0,0.0,2.0,0.21
82,1.0,3.0,0.0,2.0,0.24
83,1.0,3.0,0.0,2.0,0.27
84,1.0,3.0,0.0,2.0,0.3
85,1.0,3.0,0.0,2.0,0.31
86,1.0,3.0,0.0,2.0,0.33
87,1.0,3.0,0.0,2.0,0.34
88,1.0,3.0,0.0,2.0,0.38
89,1.0,3.0,0.0,2.0,0.4
90,1.0,3.0,0.0,2.0,0.43
91,1.0,3.0,0.0,2.0,0.45
92,1.0,3.0,0.0,2.0,0.48
93,1.0,3.0,0.0,2.0,0.5
94,1.0,3.0,0.0,2.0,0.52
95,1.0,3.0,0.0,2.0,0.56
96,1.0,3.0,0.0,2.0,0.56
97,1.0,3.0,0.0,2.0,0.57
98,1.0,3.0,0.0,2.0,0.6
99,1.0,3.0,0.0,2.0,0.61
100,1.0,3.0,0.0,2.0,0.63
101,1.0,3.0,0.0,2.0,0.64
102,1.0,3.0,0.0,2.0,0.65
103,1.0,3.0,0.0,2.0,0.65
104,1.0,3.0,0.0,2.0,0.69
105,1.0,3.0,0.0,2.0,0.7
106,1.0,3.0,0.0,2.0,0.7
107,1.0,3.0,0.0,2.0,0.71
108,1.0,3.0,0.0,2.0,0.73
109,1.0,3.0,0.0,2.0,0.73
110,1.0,3.0,0.0,2.0,0.77
111,1.0,3.0,0.0,2.0,0.83
112,1.0,3.0,0.0,2.0,0.85
113,1.0,3.0,0.0,2.0,0.87
114,1.0,3.0,0.0,2.0,0.92
115,1.0,3.0,0.0,2.05,0.87
116,1.0,3.0,0.0,2.15,0.77
117,1.0,3.0,0.0,2.26,0.66
118,1.0,3.0,0.0,2.38,0.55
119,1.0,3.0,0.0,2.58,0.37
120,1.0,3.0,0.0,2.82,0.17
121,1.0,3.0,0.0,2.93,0.07
122,1.0,3.0,0.0,2.96,0.04
123,1.0,3.0,0.0,2.97,0.03
124,1.0,3.0,0.0,2.98,0.02
125,1.0,3.0,0.0,2.98,0.02
126,1.0,3.0,0.0,2.99,0.01
127,1.0,3.0,0.0,3.0,0.0
128,1.0,3.0,0.0,3.0,0.0
129,1.0,3.0,0.0,3.0,0.0
130,1.0,3.0,0.0,2.99,0.01
131,1.0,3.0,0.0,2.99,0.01
132,1.0,3.0,0.0,2.99,0.01
133,1.0,3.0,0.0,3.0,0.0
134,1.0,3.0,0.0,2.99,0.0
135,1.0,3.0,0.0,2.99,0.0
136,1.0,3.0,0.0,2.99,0.0
137,1.25,3.0,0.0,3.0,0.0
138,1.68,3.0,0.0,3.0,0.0
139,1.95,3.0,0.0,3.0,0.0
140,2.0,3.0,0.0,3.0,0.0
141,2.0,3.0,0.0,3.0,0.0
142,2.0,3.0,0.0,3.0,0.0
143,2.0,3.0,0.0,3.0,0.0
144,2.0,3.0,0.0,3.0,0.0
145,2.0,3.0,0.0,3.0,0.0
146,2.0,3.0,0.0,3.0,0.0
147,2.0,3.0,0.0,3.0,0.0
148,2.0,3.0,0.0,3.0,0.0
149,2.0,3.0,0.0,3.0,0.0
150,2.0,3.0,0.0,3.0,0.0
151,2.0,3.0,0.0,3.0,0.0
152,2.0,3.0,0.0,3.0,0.0
153,2.0,3.0,0.0,3.0,0.0
154,2.0,3.0,0.0,3.0,0.0
155,2.0,3.0,0.0,3.0,0.0
156,2.0,3.0,0.0,3.0,0.0
157,2.0,3.0,0.0,3.0,0.0
158,2.0,3.0,0.0,3.0,0.0
159,2.0,3.0,0.0,3.0,0.04
160,2.0,3.0,0.0,3.0,0.06
161,2.0,3.0,0.0,3.0,0.08
162,2.0,3.0,0.0,3.0,0.12
163,2.0,3.0,0.0,3.0,0.15
164,2.0,3.0,0.0,3.0,0.18
