training_iteration,proportion_missed
1,0.8333333333333334
2,0.7857142857142857
3,0.775
4,0.745
5,0.76
6,0.735
7,0.735
8,0.68
9,0.66
10,0.655
11,0.72
12,0.725
13,0.66
14,0.64
15,0.585
16,0.55
17,0.515
18,0.515
19,0.47
20,0.465
21,0.42
22,0.365
23,0.295
24,0.265
25,0.29
26,0.28
27,0.245
28,0.22
29,0.155
30,0.155
31,0.095
32,0.11
33,0.135
34,0.135
35,0.125
36,0.115
37,0.125
38,0.115
39,0.105
40,0.095
41,0.065
42,0.04
43,0.045
44,0.05
45,0.045
46,0.065
47,0.065
48,0.05
49,0.06
50,0.055
51,0.075
52,0.075
53,0.07
54,0.04
55,0.06
56,0.05
57,0.06
58,0.09
59,0.06
60,0.025
61,0.025
62,0.045
63,0.06
64,0.075
65,0.07
66,0.045
67,0.05
68,0.05833333333333333
69,0.05833333333333334
70,0.06499999999999999
71,0.06666666666666667
72,0.0733333333333333
73,0.07333333333333332
74,0.07333333333333333
75,0.07333333333333332
76,0.07333333333333332
77,0.07666666666666666
78,0.07666666666666665
79,0.07666666666666666
80,0.07166666666666666
81,0.07166666666666666
82,0.075
83,0.075
84,0.075
85,0.075
86,0.07833333333333332
87,0.07333333333333332
88,0.07333333333333333
89,0.07166666666666666
90,0.07166666666666666
91,0.075
92,0.08166666666666667
93,0.08166666666666667
94,0.085
95,0.08666666666666666
96,0.09
97,0.09833333333333334
98,0.09833333333333334
99,0.10166666666666666
100,0.09666666666666666
101,0.09666666666666666
102,0.09166666666666666
103,0.09166666666666666
104,0.09166666666666666
105,0.09166666666666666
106,0.09166666666666666
107,0.09166666666666666
108,0.09166666666666666
109,0.09333333333333334
110,0.09666666666666666
111,0.09666666666666668
112,0.09333333333333332
113,0.1
114,0.10666666666666666
115,0.10333333333333333
116,0.1
117,0.12333333333333332
118,0.10333333333333333
119,0.12666666666666668
120,0.12666666666666665
121,0.11
122,0.09
123,0.09333333333333334
124,0.09
125,0.1
126,0.10666666666666666
127,0.1
128,0.09333333333333332
129,0.06666666666666667
130,0.06666666666666667
131,0.08666666666666666
132,0.09
133,0.11
134,0.08666666666666666
135,0.06666666666666667
136,0.02333333333333333
137,0.02333333333333333
138,0.023333333333333334
139,0.03666666666666667
140,0.03666666666666666
141,0.03333333333333333
142,0.02
143,0.02
144,0.02333333333333333
145,0.03
146,0.03
147,0.029999999999999995
148,0.02333333333333333
149,0.05666666666666667
150,0.09
151,0.09666666666666664
152,0.07666666666666666
153,0.07333333333333332
154,0.05999999999999999
155,0.06333333333333334
156,0.07
157,0.06666666666666667
158,0.06666666666666667
159,0.06833333333333333
160,0.06833333333333332
161,0.06833333333333333
162,0.06166666666666666
163,0.06416666666666666
164,0.06416666666666666
165,0.06416666666666666
166,0.06416666666666666
167,0.05083333333333333
168,0.05583333333333333
169,0.05583333333333333
170,0.0525
171,0.0525
172,0.04833333333333333
173,0.05083333333333333
174,0.05
175,0.05
176,0.039999999999999994
177,0.0425
178,0.0425
179,0.0425
180,0.03583333333333333
181,0.03583333333333333
182,0.03583333333333333
183,0.03583333333333333
184,0.03583333333333333
185,0.03833333333333333
186,0.035
187,0.03166666666666666
188,0.03166666666666666
189,0.028333333333333332
190,0.03
191,0.0275
192,0.025
193,0.025
194,0.03
195,0.03
196,0.03
197,0.035
198,0.04
199,0.05
200,0.0475
201,0.045
202,0.055
203,0.055
204,0.055
205,0.055
206,0.055
207,0.0575
208,0.0625
209,0.0625
210,0.0625
211,0.0625
212,0.065
213,0.07
214,0.0725
215,0.0775
216,0.08
217,0.0775
218,0.08
219,0.0825
220,0.0825
221,0.0825
222,0.0925
223,0.095
224,0.0925
225,0.0925
226,0.0975
227,0.12
228,0.13
229,0.1425
230,0.1475
231,0.16
232,0.18
233,0.195
234,0.205
235,0.205
236,0.205
237,0.2125
238,0.2175
239,0.225
240,0.2325
241,0.2525
242,0.2525
243,0.2575
244,0.265
245,0.28
246,0.29
247,0.3025
248,0.325
249,0.3325
250,0.3425
251,0.3525
252,0.3525
253,0.35
254,0.36
255,0.3575
256,0.3575
257,0.3575
258,0.34
259,0.3275
260,0.32166666666666666
261,0.32916666666666666
262,0.3391666666666666
263,0.3416666666666666
264,0.3416666666666666
265,0.32166666666666666
266,0.32916666666666666
267,0.33666666666666667
268,0.31916666666666665
269,0.31916666666666665
270,0.33416666666666667
271,0.32916666666666666
272,0.32166666666666666
273,0.32666666666666666
274,0.32666666666666666
275,0.32166666666666666
276,0.31666666666666665
277,0.29916666666666664
278,0.2866666666666666
279,0.2766666666666666
280,0.2861666666666666
281,0.2786666666666666
282,0.2786666666666667
283,0.2786666666666667
284,0.27466666666666667
285,0.27216666666666667
286,0.27216666666666667
287,0.27216666666666667
288,0.2761666666666667
289,0.2791666666666667
290,0.2791666666666667
291,0.2871666666666667
292,0.2841666666666666
293,0.2836666666666667
294,0.2851666666666667
295,0.2851666666666667
296,0.2866666666666666
297,0.2881666666666667
298,0.2915
299,0.28900000000000003
300,0.2815
301,0.28150000000000003
302,0.26349999999999996
303,0.2455
304,0.2455
305,0.24200000000000002
306,0.2415
307,0.23900000000000002
308,0.2335
309,0.2235
310,0.21600000000000003
311,0.21600000000000003
312,0.2175
313,0.217
314,0.217
315,0.21899999999999997
316,0.20550000000000002
317,0.20149999999999996
318,0.20149999999999996
319,0.19899999999999995
320,0.195
321,0.1925
322,0.1815
323,0.18549999999999997
324,0.19099999999999998
325,0.18049999999999997
326,0.19
327,0.19149999999999998
328,0.19549999999999998
329,0.2
330,0.2
331,0.2
332,0.1945
333,0.19450000000000003
334,0.187
335,0.187
336,0.1845
337,0.18049999999999997
338,0.1725
339,0.16399999999999998
340,0.17
341,0.172
342,0.172
343,0.168
344,0.168
345,0.162
346,0.162
347,0.16
348,0.16599999999999998
349,0.162
350,0.174
351,0.18600000000000003
352,0.19399999999999998
353,0.20199999999999996
354,0.212
355,0.22999999999999995
356,0.24600000000000002
357,0.25
358,0.258
359,0.262
360,0.26599999999999996
361,0.264
362,0.256
363,0.268
364,0.278
365,0.28
366,0.29200000000000004
367,0.31
368,0.314
369,0.332
370,0.32966666666666666
371,0.32966666666666666
372,0.3326666666666667
373,0.33233333333333337
374,0.3356666666666667
375,0.3256666666666666
376,0.32899999999999996
377,0.3303333333333335
378,0.331
379,0.32899999999999996
380,0.3303333333333333
381,0.33066666666666655
382,0.32033333333333336
383,0.3203333333333333
384,0.32
385,0.32266666666666666
386,0.3236666666666666
387,0.32299999999999995
388,0.325
389,0.32433333333333325
390,0.31933333333333336
391,0.3173333333333333
392,0.32233333333333325
393,0.3186666666666667
394,0.3186666666666667
395,0.3133333333333333
396,0.3133333333333333
397,0.31466666666666665
398,0.31466666666666665
399,0.313
400,0.31733333333333336
401,0.31933333333333336
402,0.32299999999999995
403,0.32299999999999995
404,0.32966666666666666
405,0.33
406,0.33
407,0.3423333333333333
408,0.3393333333333334
409,0.3466666666666666
410,0.3466666666666666
411,0.34633333333333327
412,0.33833333333333326
413,0.33833333333333326
414,0.3356666666666666
415,0.32166666666666666
416,0.32299999999999995
417,0.3343333333333333
418,0.3353333333333333
419,0.33366666666666667
420,0.335
421,0.335
422,0.33666666666666667
423,0.34
424,0.33666666666666667
425,0.33666666666666667
426,0.33666666666666667
427,0.34333333333333327
428,0.3416666666666666
429,0.33666666666666667
430,0.3366666666666667
431,0.33666666666666667
432,0.3233333333333333
433,0.32166666666666666
434,0.31833333333333336
435,0.31666666666666665
436,0.3183333333333333
437,0.31833333333333336
438,0.30833333333333335
439,0.31666666666666665
440,0.32333333333333336
441,0.335
442,0.33333333333333326
443,0.32666666666666655
444,0.32666666666666666
445,0.3349999999999999
446,0.33833333333333326
447,0.33666666666666656
448,0.33666666666666656
449,0.32166666666666666
450,0.31666666666666665
451,0.309
452,0.2923333333333334
453,0.294
454,0.29066666666666663
455,0.2906666666666667
456,0.2906666666666667
457,0.289
458,0.30066666666666664
459,0.29233333333333333
460,0.2923333333333333
461,0.29233333333333333
462,0.2906666666666667
463,0.2906666666666667
464,0.2889999999999999
465,0.28900000000000003
466,0.2906666666666667
467,0.29400000000000004
468,0.29400000000000004
469,0.2956666666666667
470,0.2956666666666667
471,0.2956666666666667
472,0.2956666666666667
473,0.28733333333333333
474,0.294
475,0.3023333333333333
476,0.3023333333333333
477,0.3073333333333333
478,0.3123333333333333
479,0.314
480,0.31733333333333336
481,0.314
482,0.3073333333333333
483,0.319
484,0.31566666666666665
485,0.31566666666666665
486,0.32066666666666666
487,0.309
488,0.31233333333333335
489,0.31733333333333336
490,0.32
491,0.32166666666666666
492,0.32166666666666666
493,0.32166666666666666
494,0.31666666666666665
495,0.32
496,0.32166666666666666
497,0.3153333333333333
498,0.31366666666666665
499,0.3203333333333333
500,0.31533333333333335
501,0.32366666666666666
502,0.3203333333333333
503,0.32199999999999995
504,0.32866666666666666
505,0.32699999999999996
506,0.3236666666666666
507,0.3236666666666666
508,0.32366666666666666
509,0.32366666666666666
510,0.322
511,0.3353333333333333
512,0.3353333333333333
513,0.3403333333333334
514,0.3386666666666667
515,0.35033333333333333
516,0.347
517,0.3403333333333333
518,0.34033333333333327
519,0.33366666666666667
520,0.33199999999999996
521,0.32866666666666666
522,0.32866666666666666
523,0.332
524,0.33199999999999996
525,0.31866666666666665
526,0.31866666666666665
527,0.317
528,0.327
529,0.327
530,0.3186666666666667
531,0.30733333333333335
532,0.3056666666666667
533,0.3056666666666667
534,0.29733333333333334
535,0.29233333333333333
536,0.28900000000000003
537,0.29366666666666663
538,0.287
539,0.28200000000000003
540,0.267
541,0.267
542,0.262
543,0.262
544,0.26366666666666666
545,0.25533333333333336
546,0.257
547,0.25533333333333336
548,0.25533333333333336
549,0.247
550,0.24033333333333334
551,0.22366666666666668
552,0.2086666666666667
553,0.21533333333333335
554,0.21033333333333332
555,0.2053333333333333
556,0.2053333333333333
557,0.20533333333333334
558,0.20533333333333334
559,0.20199999999999999
560,0.20199999999999999
561,0.19200000000000003
562,0.19033333333333335
563,0.18033333333333335
564,0.18033333333333335
565,0.17533333333333334
566,0.17533333333333334
567,0.18033333333333335
568,0.17366666666666672
569,0.17200000000000004
570,0.17200000000000004
571,0.17200000000000004
572,0.17333333333333337
573,0.17500000000000007
574,0.17666666666666672
575,0.18166666666666673
576,0.18166666666666673
577,0.18666666666666668
578,0.18666666666666668
579,0.18666666666666668
580,0.18333333333333335
581,0.17833333333333334
582,0.17833333333333332
583,0.17666666666666672
584,0.17642857142857146
585,0.1761904761904762
586,0.17595238095238094
587,0.17571428571428568
588,0.17404761904761906
589,0.17499999999999996
590,0.17738095238095233
591,0.1752380952380952
592,0.17499999999999996
593,0.1745238095238095
594,0.1745238095238095
595,0.17714285714285713
596,0.17928571428571424
597,0.18166666666666662
598,0.19238095238095235
599,0.1923809523809523
600,0.19119047619047616
601,0.19499999999999995
602,0.19499999999999995
603,0.19476190476190472
604,0.19880952380952382
605,0.20166666666666663
606,0.20261904761904756
607,0.2045238095238095
608,0.204047619047619
609,0.2038095238095238
610,0.20499999999999996
611,0.2047619047619047
612,0.21285714285714277
613,0.214047619047619
614,0.214047619047619
615,0.21499999999999994
616,0.21738095238095234
617,0.2214285714285714
618,0.2252380952380952
619,0.2314285714285714
620,0.23380952380952377
621,0.23380952380952377
622,0.23595238095238083
623,0.23595238095238083
624,0.23238095238095233
625,0.24142857142857138
626,0.2397619047619047
627,0.24380952380952375
628,0.24642857142857139
629,0.24309523809523811
630,0.24309523809523811
631,0.24095238095238092
632,0.24095238095238092
633,0.24214285714285708
634,0.24928571428571422
635,0.24880952380952376
636,0.24952380952380945
637,0.25095238095238087
638,0.25214285714285706
639,0.25214285714285706
640,0.25214285714285706
641,0.2547619047619047
642,0.2504761904761904
643,0.2504761904761904
644,0.2504761904761904
645,0.2533333333333333
646,0.25047619047619046
647,0.249047619047619
648,0.25190476190476185
649,0.2547619047619047
650,0.2604761904761904
651,0.2561904761904762
652,0.2604761904761905
653,0.25904761904761897
654,0.25619047619047614
655,0.25619047619047614
656,0.2633333333333333
657,0.26904761904761904
658,0.26190476190476186
659,0.26190476190476186
660,0.269047619047619
661,0.26761904761904753
662,0.2704761904761904
663,0.27023809523809517
664,0.27023809523809517
665,0.2688095238095238
666,0.26738095238095233
667,0.26309523809523805
668,0.2659523809523809
669,0.27077380952380947
670,0.2679166666666666
671,0.26345238095238094
672,0.26130952380952377
673,0.25630952380952376
674,0.2672023809523809
675,0.2672023809523809
676,0.25916666666666666
677,0.25916666666666666
678,0.2595238095238095
679,0.2529166666666666
680,0.2529166666666666
681,0.2658928571428571
682,0.2683928571428571
683,0.2719642857142857
684,0.2717857142857143
685,0.26964285714285713
686,0.2714285714285714
687,0.2714285714285714
688,0.2725
689,0.2805357142857143
690,0.28125
691,0.2810714285714285
692,0.2855357142857143
693,0.2857142857142857
694,0.28375
695,0.28375
696,0.29107142857142854
697,0.30428571428571427
