training_iteration,training_iteration_time
1,8.20383
2,8.019484
3,8.016572
4,7.971166
5,7.9438320000000004
6,7.933629
7,7.923011000000001
8,7.907827
9,7.877197
10,7.879176999999999
11,7.818174
12,7.827503
13,7.8197160000000006
14,7.845149999999999
15,7.85984
16,7.838976
17,7.824041
18,7.836002000000001
19,7.863853
20,7.869133
21,7.912203000000001
22,7.919595999999999
23,7.896478
24,7.881081
25,7.880481
26,7.881575
27,7.928924
28,7.937085
29,7.9209629999999995
30,7.907787
31,7.904656
32,7.911857
33,7.9306220000000005
34,7.942687
35,7.955849
36,7.991456
37,7.9866220000000006
38,8.012662
39,8.017974
40,8.056301000000001
41,8.074208
42,8.072713
43,8.084086000000001
44,8.081597
45,8.07802
46,8.049397
47,8.002417000000001
48,7.950748
49,7.987247
50,7.981832000000001
51,7.958165
52,7.9246360000000005
53,7.936959
54,7.934378
55,7.9427010000000005
56,7.939522
57,7.971024000000001
58,8.009817
59,7.973002
60,7.940481
61,7.925208
62,7.952896
63,7.9537510000000005
64,7.940975000000001
65,7.898314999999999
66,7.945774
67,7.949225
68,7.916453000000001
69,8.040906
70,8.171845000000001
71,8.306869
72,8.411121999999999
73,8.356415
74,8.318556000000001
75,8.340874
76,8.31625
77,8.267458000000001
78,8.235657999999999
79,8.090455
80,7.933969
81,7.815346
82,7.664738000000001
83,7.663730999999999
84,7.834521
85,7.960978
86,8.091099
87,8.09944
88,8.111412
89,8.14604
90,8.153376
91,8.161948
92,8.231855
93,8.224269
94,8.085787
95,7.956335
96,7.820018
97,7.862122
98,7.8874830000000005
99,7.847232
100,7.879151
101,7.865755
102,7.834932
103,7.880972
104,7.892094
105,7.877528
106,7.83604
107,7.833202
108,7.805893
109,7.853686
110,7.849461
111,7.825759
112,7.817837000000001
113,7.813256999999999
114,7.8141300000000005
115,7.805098
116,7.848042
117,7.858223
118,7.932227
119,7.956179
120,7.991254
121,8.051119
122,8.050018
123,8.07718
124,8.082938
125,8.130651
126,8.154527
127,8.159124
128,8.1362
129,8.123948
130,8.082036
131,8.028495
