training_iteration,training_iteration_time_s,cumulative_training_hours,number_of_agents
1,7.90824,0.0021967333333333334,1.0
2,7.814648,0.004367468888888889,1.0
3,7.697336,0.006505617777777778,1.0
4,7.647992,0.00863006,1.0
5,7.778244,0.010790683333333334,1.0
6,7.730842,0.012938139444444446,1.0
7,7.697755,0.015076404722222223,1.0
8,7.682988999999999,0.017210568333333336,1.0
9,7.673051999999999,0.01934197166666667,1.0
10,7.664922,0.02147111666666667,1.0
11,7.636625,0.023592401388888892,1.0
12,7.634138,0.025712995277777782,1.0
13,7.637027,0.027834391666666673,1.0
14,7.642919,0.02995742472222223,1.0
15,7.5742259999999995,0.032061376388888896,1.0
16,7.582903,0.034167738333333336,1.0
17,7.60928,0.036281427222222225,1.0
18,7.656899999999999,0.0384083438888889,1.0
19,7.653516,0.040534320555555566,1.0
20,7.653855999999999,0.04266039166666667,1.0
21,7.6558459999999995,0.04478701555555556,1.0
22,7.634873,0.04690781361111111,1.0
23,7.641614,0.04903048416666667,1.0
24,7.660043,0.05115827388888889,1.0
25,7.67069,0.05328902111111112,1.0
26,7.795064,0.05545431666666667,1.0
27,7.792424,0.0576188788888889,1.0
28,7.7369319999999995,0.059768026666666675,1.0
29,7.752,0.06192136000000001,1.0
30,7.752066,0.06407471166666669,1.0
31,7.741517,0.06622513305555557,1.0
32,7.745625,0.06837669555555556,1.0
33,7.747196,0.07052869444444446,1.0
34,7.725865,0.07267476805555557,1.0
35,7.703286,0.07481456972222224,1.0
36,7.565135000000001,0.07691599611111112,1.0
37,7.575640999999999,0.07902034083333336,1.0
38,7.633483,0.0811407527777778,1.0
39,7.629194999999999,0.08325997361111112,1.0
40,7.631367,0.0853797977777778,1.0
41,7.63239,0.08749990611111112,1.0
42,7.627618,0.0896186888888889,1.0
43,7.6406480000000006,0.09174109111111112,1.0
44,7.653922,0.09386718055555557,1.0
45,7.66226,0.09599558611111113,1.0
46,7.6716549999999994,0.0981266013888889,1.0
47,7.6374260000000005,0.10024810861111112,1.0
48,7.597975,0.10235865722222225,1.0
49,7.572633,0.10446216638888892,1.0
50,7.574707,0.10656625166666668,1.0
51,7.592718,0.10867534000000001,1.0
52,7.58893,0.11078337611111112,1.0
53,7.587103,0.11289090472222224,1.0
54,7.589078000000001,0.11499898194444445,1.0
55,7.6056729999999995,0.11711166888888891,1.0
56,7.611778,0.1192260516666667,1.0
57,7.635872,0.12134712722222225,1.0
58,7.609324,0.12346082833333337,1.0
59,7.627837,0.12557967194444447,1.0
60,7.629436,0.12769895972222225,1.0
61,7.638968,0.1298208952777778,1.0
62,7.685419,0.13195573388888893,1.0
63,7.690134,0.13409188222222226,1.0
64,7.694841,0.1362293380555556,1.0
65,7.698835,0.13836790333333335,1.0
66,7.708496,0.14050915222222224,1.0
67,7.718229999999999,0.142653105,1.0
68,7.747432,0.14480516944444446,1.0
69,7.748066,0.14695741,1.0
70,7.739997000000001,0.14910740916666668,1.0
71,7.729127999999999,0.15125438916666667,1.0
72,7.691471,0.1533909088888889,1.0
73,7.655123,0.15551733194444445,1.0
74,7.63133,0.15763714583333335,1.0
75,7.583739,0.15974374000000002,1.0
76,7.543707,0.1618392141666667,1.0
77,7.4945379999999995,0.16392103027777782,1.0
78,7.458274,0.1659927730555556,1.0
79,7.426641,0.16805572888888892,1.0
80,7.394868000000001,0.1701098588888889,1.0
81,7.380717,0.1721600580555556,1.0
82,7.370064999999999,0.17420729833333334,1.0
83,7.373295,0.17625543583333333,1.0
84,7.374241,0.1783038361111111,1.0
85,7.378036,0.18035329055555555,1.0
86,7.426214,0.18241612777777777,1.0
87,7.441482,0.18448320611111108,1.0
88,7.461018,0.18655571111111108,1.0
89,7.498403000000001,0.1886386008333333,1.0
90,7.517044,0.1907266686111111,1.0
91,7.549684,0.19282380305555555,1.0
92,7.550769,0.19492123888888885,1.0
93,7.549448999999999,0.1970183080555555,1.0
94,7.538184,0.19911224805555552,1.0
95,7.552562,0.2012101819444444,1.0
96,7.510406,0.20329640583333328,1.0
97,7.502255,0.2053803655555555,1.0
98,7.489187,0.20746069527777772,1.0
99,7.473494,0.20953666583333327,1.0
100,7.487374,0.2116164919444444,1.0
101,7.427746,0.21367975472222217,1.0
102,7.429183,0.2157434166666666,1.0
103,7.4362770000000005,0.2178090491666666,1.0
104,7.454136999999999,0.2198796427777777,1.0
105,7.435296,0.2219450027777777,1.0
106,7.4326099999999995,0.22400961666666658,1.0
107,7.447929,0.22607848583333326,1.0
108,7.458481,0.22815028611111102,1.0
109,7.458206000000001,0.23022200999999992,1.0
110,7.4625,0.2322949266666666,1.0
111,7.511662,0.23438149944444436,1.0
112,7.535289,0.2364746352777777,1.0
113,7.538509,0.23856866555555548,1.0
114,7.52554,0.24065909333333324,1.0
115,7.55122,0.24275665444444433,1.0
116,7.586163,0.24486392194444437,1.0
117,7.573766,0.24696774583333325,1.0
118,7.638198999999999,0.24908946777777768,1.0
119,7.6912139999999996,0.251225916111111,1.0
120,7.734979,0.2533745213888888,1.0
121,7.721305,0.25551932833333324,1.0
122,7.79198,0.2576837672222221,1.0
123,7.851251,0.25986467027777765,1.0
124,7.923346,0.2620655997222221,1.0
125,7.944896,0.2642725152777777,1.0
126,7.985307,0.266490656111111,1.0
127,8.038922,0.2687236899999999,1.0
128,7.995856,0.270944761111111,1.0
129,7.961124,0.27315618444444434,1.0
130,7.922394000000001,0.2753568494444444,1.0
131,8.022508,0.2775853238888888,1.0
132,8.131868,0.27984417611111106,1.0
133,8.253294,0.2821367577777777,1.0
134,8.375904,0.28446339777777774,1.0
135,8.36885,0.2867880783333333,1.0
136,8.319249,0.2890989808333333,1.0
137,8.714475,0.29151966833333326,1.25
138,9.298675,0.29410263361111105,1.68
139,9.878202,0.2968465786111111,1.95
140,10.45311,0.29975022027777776,2.0
141,10.965165,0.3027960994444444,2.0
142,11.332599,0.3059440436111111,2.0
143,11.751299000000001,0.30920829333333333,2.0
144,12.131047,0.3125780286111111,2.0
145,12.699465,0.31610565777777777,2.0
146,13.261849,0.31978950472222223,2.0
147,13.395252000000001,0.32351040805555553,2.0
148,13.346647,0.32721781,2.0
149,13.330615,0.33092075861111114,2.0
150,13.321394,0.3346211458333334,2.0
151,13.263306,0.3383053975000001,2.0
152,13.278988,0.34199400527777785,2.0
153,13.269592000000001,0.3456800030555557,2.0
154,13.274602999999999,0.3493673927777779,2.0
155,13.258058,0.35305018666666677,2.0
156,13.255808,0.3567323555555556,2.0
157,13.259939000000001,0.3604156719444445,2.0
158,13.28917,0.36410710805555563,2.0
159,13.241322,0.36778525305555565,2.0
160,13.20702,0.37145386972222233,2.0
161,13.212238,0.3751239358333335,2.0
162,13.237725000000001,0.3788010816666668,2.0
163,13.201581000000001,0.3824681875000001,2.0
164,13.192086,0.38613265583333345,2.0
165,13.185269,0.3897952305555557,2.0
166,13.181495,0.3934567569444446,2.0
167,13.166709999999998,0.3971141763888891,2.0
168,13.137547,0.4007634950000002,2.0
169,13.16423,0.40442022555555573,2.0
170,13.186806,0.4080832272222224,2.0
171,13.181212,0.41174467500000017,2.0
172,13.174958,0.41540438555555576,2.0
173,13.199172,0.4190708222222224,2.0
174,13.191085,0.4227350125000002,2.0
175,13.186933000000002,0.42639804944444465,2.0
176,13.199946,0.4300647011111113,2.0
177,13.239586,0.43374236388888904,2.0
178,13.270235000000001,0.4374285402777779,2.0
179,13.296607,0.44112204222222234,2.0
180,13.281235,0.44481127416666677,2.0
181,13.283256999999999,0.4485010677777779,2.0
182,13.264610000000001,0.4521856816666668,2.0
183,13.26338,0.455869953888889,2.0
184,13.271135000000001,0.4595563802777779,2.0
185,13.344551,0.4632632000000001,2.0
186,13.349718999999999,0.4669714552777779,2.0
187,13.309235000000001,0.4706684650000001,2.0
188,13.295652,0.47436170166666675,2.0
189,13.284362,0.4780518022222224,2.0
190,13.317582,0.4817511305555557,2.0
191,13.330055,0.48545392361111117,2.0
192,13.326722,0.48915579083333344,2.0
193,13.347625,0.49286346444444457,2.0
194,13.356675,0.4965736519444445,2.0
195,13.286292,0.5002642886111113,2.0
196,13.276118,0.5039520991666667,2.0
197,13.282831,0.5076417744444446,2.0
198,13.321101,0.5113420802777778,2.0
199,13.332201999999999,0.5150454697222223,2.0
200,13.320447,0.5187455938888891,2.0
201,13.514463,0.522499611388889,2.0
202,13.550643,0.526263678888889,2.0
203,13.570272999999998,0.5300331991666668,2.0
204,13.587132,0.5338074025000001,2.0
205,13.618623,0.5375903533333335,2.0
206,13.706092,0.5413976011111112,2.0
207,13.720903,0.5452089630555557,2.0
208,13.704003,0.5490156305555557,2.0
209,13.70088,0.5528214305555558,2.0
210,13.754597,0.5566421519444447,2.0
211,13.562854,0.5604096113888891,2.0
212,13.546201,0.5641724450000003,2.0
213,13.501406999999999,0.5679228358333336,2.0
214,13.504601000000001,0.5716741138888891,2.0
215,13.514572,0.5754281616666669,2.0
216,13.434417999999999,0.5791599444444446,2.0
217,13.425186,0.5828891627777779,2.0
218,13.425858,0.586618567777778,2.0
219,13.439412,0.590351737777778,2.0
220,13.429968,0.5940822844444447,2.0
221,13.443893,0.5978166991666669,2.0
222,13.463268,0.6015564958333336,2.0
223,13.533068,0.6053156813888891,2.0
224,13.536717000000001,0.6090758805555558,2.0
225,13.551900999999999,0.6128402975000002,2.0
226,13.572751,0.6166105061111113,2.0
227,13.584648,0.6203840194444447,2.0
228,13.609274,0.6241643733333335,2.0
229,13.609651,0.6279448319444447,2.0
230,13.615419,0.6317268927777782,2.0
231,13.616994,0.6355093911111115,2.0
232,13.619061,0.6392924636111115,2.0
233,13.571698,0.6430623797222226,2.0
234,13.578546000000001,0.646834198055556,2.0
235,13.570642,0.6506038208333338,2.0
236,13.584147000000002,0.6543771950000005,2.0
237,13.581987,0.6581499691666671,2.0
238,13.549414,0.6619136952777782,2.0
239,13.552254999999999,0.6656782105555561,2.0
240,13.556934,0.6694440255555562,2.0
241,13.602044,0.6732223711111117,2.0
242,13.647673000000001,0.6770133913888895,2.0
243,13.995893,0.680901139444445,2.0
244,14.328884,0.6848813850000005,2.0
245,14.620923000000001,0.6889427525000005,2.0
246,14.916685,0.6930862761111117,2.0
247,15.232713,0.6973175852777783,2.0
248,15.568307,0.7016421150000005,2.0
249,15.884487,0.7060544725000005,2.0
250,16.17898,0.7105486336111116,2.0
251,16.201975,0.7150491822222227,2.0
252,16.160856,0.7195383088888894,2.0
253,15.834748,0.7239368500000005,2.0
254,15.52634,0.7282497222222227,2.0
255,15.240285,0.7324831347222227,2.0
256,14.962689000000001,0.7366394372222227,2.0
257,14.67781,0.7407166066666672,2.0
258,14.367874,0.7447076827777783,2.0
259,14.061620999999999,0.7486136886111115,2.0
260,13.769458,0.752438538055556,2.0
261,13.729545,0.7562523005555561,2.0
262,13.725878,0.7600650444444451,2.0
263,13.711151,0.7638736975000007,2.0
264,13.706849,0.7676811555555562,2.0
265,13.725965,0.7714939236111118,2.0
266,13.715531,0.775303793333334,2.0
267,13.735652,0.7791192522222228,2.0
268,13.768232,0.7829437611111116,2.0
269,13.787081,0.7867735058333338,2.0
270,13.753154,0.7905938263888894,2.0
271,13.761608,0.7944164952777782,2.0
272,13.777274,0.7982435158333339,2.0
273,13.845081,0.8020893716666672,2.0
274,13.846259,0.8059355547222227,2.0
275,13.824562,0.8097757108333338,2.0
276,13.847915,0.8136223538888893,2.0
277,13.843496,0.8174677694444448,2.0
278,13.850952999999999,0.8213152563888892,2.0
279,13.816429,0.8251531533333337,2.0
280,13.85899,0.8290028727777782,2.0
281,13.8617,0.8328533450000004,2.0
282,13.860681000000001,0.8367035341666671,2.0
283,13.812762000000001,0.8405404125000004,2.0
284,13.824127,0.8443804477777782,2.0
285,13.826008,0.8482210055555559,2.0
286,13.829575,0.8520625541666671,2.0
287,13.845082,0.8559084102777782,2.0
288,13.816358000000001,0.8597462875000004,2.0
289,13.843636,0.8635917419444449,2.0
290,13.838871,0.8674358727777782,2.0
291,13.838633,0.8712799375000003,2.0
292,13.855129000000002,0.8751285844444449,2.0
293,13.867925,0.8789807858333337,2.0
294,13.891851,0.8828396333333337,2.0
295,13.907753000000001,0.8867028980555559,2.0
296,13.897713,0.8905633738888892,2.0
297,13.870939,0.8944164125000003,2.0
298,13.869335999999999,0.8982690058333337,2.0
299,13.904351,0.9021313255555559,2.0
300,13.917509,0.9059973002777781,2.0
301,13.901888000000001,0.9098589358333337,2.0
302,13.865965000000001,0.913710592777778,2.0
303,13.885594,0.9175677022222225,2.0
304,13.852898,0.9214157294444447,2.0
305,13.844706,0.9252614811111113,2.0
306,13.822644,0.9291011044444446,2.0
307,13.818013,0.9329394413888891,2.0
308,13.814046000000001,0.9367766763888891,2.0
309,13.779026,0.9406041836111113,2.0
310,13.774611,0.9444304644444447,2.0
311,13.815172,0.9482680122222225,2.0
312,13.848510000000001,0.9521148205555557,2.0
313,13.80662,0.9559499927777779,2.0
314,13.819441999999999,0.9597887266666668,2.0
315,13.808009,0.9636242847222223,2.0
316,13.806608,0.9674594536111112,2.0
317,13.873612,0.9713132347222222,2.0
318,13.85508,0.9751618680555555,2.0
319,13.866916,0.9790137891666666,2.0
320,13.851329,0.9828613805555555,2.0
321,13.807909,0.9866969108333333,2.0
322,13.769438000000001,0.9905217547222221,2.0
323,13.80317,0.9943559686111111,2.0
324,14.094715,0.9982711672222222,2.0
325,14.098615,1.0021874491666667,2.0
326,14.099934,1.0061040975,2.0
327,14.028184999999999,1.0100008155555555,2.0
328,14.052073,1.0139041691666666,2.0
329,14.045807,1.0178057822222222,2.0
330,14.026738,1.0217020983333331,2.0
331,14.29425,1.0256727233333331,2.0
332,14.625732,1.0297354266666665,2.0
333,14.940351,1.0338855241666667,2.0
334,14.958915000000001,1.0380407783333334,2.0
335,14.994871,1.0422060202777776,2.0
336,15.001695,1.0463731577777777,2.0
337,15.04161,1.0505513827777777,2.0
338,15.050941,1.054732199722222,2.0
339,15.103221,1.0589275388888888,2.0
340,15.123904,1.0631286233333332,2.0
341,14.853177,1.0672545058333334,2.0
342,14.562789,1.071299725,2.0
343,14.272274,1.0752642455555554,2.0
344,13.945714,1.0791380549999998,2.0
345,13.923048000000001,1.0830055683333333,2.0
346,13.9295,1.086874873888889,2.0
347,13.895402,1.0907347077777778,2.0
348,13.911059,1.0945988908333333,2.0
349,13.882029000000001,1.09845501,2.0
350,13.9411,1.1023275377777777,2.0
351,14.07184,1.1062363822222223,2.0
352,14.184727,1.1101765841666666,2.0
353,14.163366,1.1141108525,2.0
354,14.218797,1.1180605183333334,2.0
355,14.250252,1.1220189216666667,2.0
356,14.241794,1.1259749755555555,2.0
357,14.247722,1.129932676111111,2.0
358,14.266888000000002,1.1338957005555557,2.0
359,14.255293,1.1378555041666667,2.0
360,14.232603999999998,1.1418090052777776,2.0
361,14.108141999999999,1.145727933611111,2.0
362,13.999418,1.1496166608333334,2.0
363,13.978895,1.1534996872222223,2.0
364,13.962584999999999,1.1573781830555556,2.0
365,13.92027,1.1612449247222223,2.0
366,13.931002000000001,1.1651146475,2.0
367,13.934878000000001,1.1689854469444445,2.0
368,13.906233,1.1728482894444445,2.0
369,13.915968999999999,1.1767138363888887,2.0
370,13.867092000000001,1.1805658063888889,2.0
371,13.876075,1.1844202716666667,2.0
372,13.847378,1.1882667655555557,2.0
373,13.858775,1.1921164252777778,2.0
374,13.82727,1.1959573336111111,2.0
375,13.870964,1.1998103791666666,2.0
376,13.852051,1.203658171111111,2.0
377,13.886075,1.2075154141666666,2.0
378,13.877057,1.2113701522222222,2.0
379,13.899807000000001,1.2152312097222222,2.0
380,13.916348,1.2190968619444442,2.0
381,13.956306,1.222973613611111,2.0
382,13.996555,1.2268615455555554,2.0
383,14.024932000000002,1.23075736,2.0
384,14.053,1.234660971111111,2.0
385,14.023026,1.2385562561111108,2.0
386,14.04608,1.2424579449999997,2.0
387,14.02345,1.2463533477777775,2.0
388,14.026808,1.250249683333333,2.0
389,13.994534,1.2541370538888885,2.0
390,14.027138,1.258033481111111,2.0
391,14.021009,1.2619282058333332,2.0
392,14.003924999999999,1.2658181849999999,2.0
393,13.970654,1.269698922222222,2.0
394,13.942697,1.273571893611111,2.0
395,13.943688,1.2774451402777778,2.0
396,13.945206,1.2813188086111111,2.0
397,13.948966,1.2851935213888888,2.0
398,14.088462,1.2891069830555555,2.0
399,14.410148,1.2931098019444442,2.0
400,14.379265,1.297104042222222,2.0
401,14.338315,1.3010869074999998,2.0
402,14.320888,1.3050649319444443,2.0
