training_iteration,number_of_agents_mean,number_of_airports_mean,malfunction_rate_mean,number_of_initial_cargo_mean,dynamic_cargo_generated_mean
1,1.0,3.0,0.0,2.0,0.0
2,1.0,3.0,0.0,2.0,0.0
3,1.0,3.0,0.0,2.0,0.0
4,1.0,3.0,0.0,2.0,0.0
5,1.0,3.0,0.0,2.0,0.0
6,1.0,3.0,0.0,2.0,0.0
7,1.0,3.0,0.0,2.0,0.0
8,1.0,3.0,0.0,2.0,0.0
9,1.0,3.0,0.0,2.0,0.0
10,1.0,3.0,0.0,2.0,0.0
11,1.0,3.0,0.0,2.0,0.0
12,1.0,3.0,0.0,2.0,0.0
13,1.0,3.0,0.0,2.0,0.0
14,1.0,3.0,0.0,2.0,0.0
15,1.0,3.0,0.0,2.0,0.0
16,1.0,3.0,0.0,2.0,0.0
17,1.0,3.0,0.0,2.0,0.0
18,1.0,3.0,0.0,2.0,0.0
19,1.0,3.0,0.0,2.0,0.0
20,1.0,3.0,0.0,2.0,0.0
21,1.0,3.0,0.0,2.0,0.0
22,1.0,3.0,0.0,2.0,0.0
23,1.0,3.0,0.0,2.0,0.0
24,1.0,3.0,0.0,2.0,0.0
25,1.0,3.0,0.0,2.0,0.0
26,1.0,3.0,0.0,2.0,0.0
27,1.0,3.0,0.0,2.0,0.0
28,1.0,3.0,0.0,2.0,0.0
29,1.0,3.0,0.0,2.0,0.0
30,1.0,3.0,0.0,2.0,0.0
31,1.0,3.0,0.0,2.0,0.0
32,1.0,3.0,0.0,2.0,0.0
33,1.0,3.0,0.0,2.0,0.0
34,1.0,3.0,0.0,2.0,0.0
35,1.0,3.0,0.0,2.0,0.0
36,1.0,3.0,0.0,2.0,0.0
37,1.0,3.0,0.0,2.0,0.0
38,1.0,3.0,0.0,2.0,0.0
39,1.0,3.0,0.0,2.0,0.0
40,1.0,3.0,0.0,2.0,0.0
41,1.0,3.0,0.0,2.0,0.0
42,1.0,3.0,0.0,2.0,0.0
43,1.0,3.0,0.0,2.0,0.0
44,1.0,3.0,0.0,2.0,0.0
45,1.0,3.0,0.0,2.0,0.0
46,1.0,3.0,0.0,2.0,0.0
47,1.0,3.0,0.0,2.0,0.0
48,1.0,3.0,0.0,2.0,0.0
49,1.0,3.0,0.0,2.0,0.0
50,1.0,3.0,0.0,2.0,0.0
51,1.0,3.0,0.0,2.0,0.0
52,1.0,3.0,0.0,2.0,0.0
53,1.0,3.0,0.0,2.0,0.0
54,1.0,3.0,0.0,2.0,0.0
55,1.0,3.0,0.0,2.0,0.0
56,1.0,3.0,0.0,2.0,0.0
57,1.0,3.0,0.0,2.0,0.0
58,1.0,3.0,0.0,2.0,0.0
59,1.0,3.0,0.0,2.0,0.0
60,1.0,3.0,0.0,2.0,0.0
61,1.0,3.0,0.0,2.0,0.0
62,1.0,3.0,0.0,2.0,0.0
63,1.0,3.0,0.0,2.0,0.0
64,1.0,3.0,0.0,2.0,0.0
65,1.0,3.0,0.0,2.0,0.0
66,1.0,3.0,0.0,2.0,0.0
67,1.0,3.0,0.0,2.0,0.02
68,1.0,3.0,0.0,2.0,0.05
69,1.0,3.0,0.0,2.0,0.06
70,1.0,3.0,0.0,2.0,0.11
71,1.0,3.0,0.0,2.0,0.12
72,1.0,3.0,0.0,2.0,0.13
73,1.0,3.0,0.0,2.0,0.17
74,1.0,3.0,0.0,2.0,0.2
75,1.0,3.0,0.0,2.0,0.23
76,1.0,3.0,0.0,2.0,0.24
77,1.0,3.0,0.0,2.0,0.24
78,1.0,3.0,0.0,2.0,0.26
79,1.0,3.0,0.0,2.0,0.31
80,1.0,3.0,0.0,2.0,0.35
81,1.0,3.0,0.0,2.0,0.39
82,1.0,3.0,0.0,2.0,0.41
83,1.0,3.0,0.0,2.0,0.42
84,1.0,3.0,0.0,2.0,0.44
85,1.0,3.0,0.0,2.0,0.46
86,1.0,3.0,0.0,2.0,0.49
87,1.0,3.0,0.0,2.0,0.52
88,1.0,3.0,0.0,2.0,0.57
89,1.0,3.0,0.0,2.0,0.62
90,1.0,3.0,0.0,2.0,0.64
91,1.0,3.0,0.0,2.0,0.68
92,1.0,3.0,0.0,2.0,0.72
93,1.0,3.0,0.0,2.0,0.75
94,1.0,3.0,0.0,2.0,0.78
95,1.0,3.0,0.0,2.0,0.79
96,1.0,3.0,0.0,2.0,0.82
97,1.0,3.0,0.0,2.0,0.85
98,1.0,3.0,0.0,2.0,0.91
99,1.0,3.0,0.0,2.0,0.91
100,1.0,3.0,0.0,2.0,0.91
101,1.0,3.0,0.0,2.0,0.93
102,1.0,3.0,0.0,2.0,0.98
103,1.0,3.0,0.0,2.0,0.98
104,1.0,3.0,0.0,2.0,0.98
105,1.0,3.0,0.0,2.0,0.98
106,1.0,3.0,0.0,2.0,0.98
107,1.0,3.0,0.0,2.0,0.98
108,1.0,3.0,0.0,2.0,0.98
109,1.0,3.0,0.0,2.0,0.98
110,1.0,3.0,0.0,2.0,0.98
111,1.0,3.0,0.0,2.03,0.95
112,1.0,3.0,0.0,2.08,0.9
113,1.0,3.0,0.0,2.13,0.85
114,1.0,3.0,0.0,2.19,0.79
115,1.0,3.0,0.0,2.32,0.67
116,1.0,3.0,0.0,2.47,0.51
117,1.0,3.0,0.0,2.6,0.38
118,1.0,3.0,0.0,2.79,0.2
119,1.0,3.0,0.0,2.94,0.05
120,1.0,3.0,0.0,2.95,0.04
121,1.0,3.0,0.0,2.95,0.03
122,1.0,3.0,0.0,2.96,0.02
123,1.0,3.0,0.0,2.96,0.02
124,1.0,3.0,0.0,2.97,0.01
125,1.0,3.0,0.0,2.98,0.01
126,1.0,3.0,0.0,2.98,0.0
127,1.0,3.0,0.0,2.97,0.0
128,1.0,3.0,0.0,2.97,0.01
129,1.0,3.0,0.0,2.98,0.01
130,1.0,3.0,0.0,3.0,0.0
131,1.0,3.0,0.0,3.0,0.0
132,1.0,3.0,0.0,3.0,0.0
133,1.24,3.0,0.0,3.0,0.0
134,1.63,3.0,0.0,3.0,0.0
135,1.91,3.0,0.0,3.0,0.0
136,2.0,3.0,0.0,3.0,0.0
137,2.0,3.0,0.0,3.0,0.0
138,2.0,3.0,0.0,3.0,0.0
139,2.0,3.0,0.0,3.0,0.0
140,2.0,3.0,0.0,3.0,0.0
141,2.0,3.0,0.0,3.0,0.0
142,2.0,3.0,0.0,3.0,0.0
143,2.0,3.0,0.0,3.0,0.0
144,2.0,3.0,0.0,3.0,0.0
145,2.0,3.0,0.0,3.0,0.0
146,2.0,3.0,0.0,3.0,0.0
147,2.0,3.0,0.0,3.0,0.0
148,2.0,3.0,0.0,3.0,0.0
149,2.0,3.0,0.0,3.0,0.0
150,2.0,3.0,0.0,3.0,0.0
151,2.0,3.0,0.0,3.0,0.0
152,2.0,3.0,0.0,3.0,0.0
153,2.0,3.0,0.0,3.0,0.0
154,2.0,3.0,0.0,3.0,0.0
155,2.0,3.0,0.0,3.0,0.03
156,2.0,3.0,0.0,3.0,0.07
157,2.0,3.0,0.0,3.0,0.1
158,2.0,3.0,0.0,3.0,0.11
159,2.0,3.0,0.0,3.0,0.14
160,2.0,3.0,0.0,3.0,0.14
161,2.0,3.0,0.0,3.0,0.2
162,2.0,3.0,0.0,3.0,0.22
163,2.0,3.0,0.0,3.0,0.25
164,2.0,3.0,0.0,3.0,0.31
