training_iteration,training_iteration_time_s,cumulative_training_hours
1,31.883830999999997,0.00885661972222222
2,31.822043,0.017696076111111108
3,31.774817,0.026522414166666664
4,31.875687999999997,0.03537677194444444
5,31.853270000000002,0.044224902499999996
6,31.785793,0.053054289444444444
7,31.733381,0.0618691175
8,31.845758999999997,0.07071516166666666
9,31.83827,0.07955912555555555
10,31.810052,0.0883952511111111
11,31.784830999999997,0.09722437083333332
12,31.763203,0.10604748277777776
13,31.802665,0.11488155638888888
14,31.737572,0.1236975486111111
15,31.717046,0.13250783916666664
16,31.710361000000002,0.14131627277777775
17,31.708733,0.15012425416666664
18,31.643109,0.15891400666666664
19,31.60871,0.16769420388888884
20,31.613418000000003,0.17647570888888886
21,31.592063999999997,0.1852512822222222
22,31.579352,0.19402332444444442
23,31.546691,0.20278629416666663
24,31.526326,0.21154360694444443
25,31.506842,0.2202955075
26,31.501611,0.229045955
27,31.498925,0.2377956563888889
28,31.468673,0.24653695444444443
29,31.510419000000002,0.2552898486111111
30,31.498085,0.26403931666666663
31,31.523002,0.2727957061111111
32,31.573739,0.28156618916666665
33,31.550653999999998,0.2903302597222222
34,31.561798,0.2990974258333333
35,31.575128,0.30786829472222216
36,31.603769,0.3166471194444444
37,31.654291,0.3254399780555555
38,31.661358,0.3342347997222222
39,31.637743999999998,0.34302306194444443
40,31.655593,0.35181628222222217
41,31.663207,0.3606116175
42,31.692156,0.3694149941666667
43,31.717965,0.37822553999999997
44,31.735477,0.38704095027777774
45,31.757508,0.39586248027777776
46,31.774162,0.40468863638888886
47,31.795384,0.41352068749999993
48,31.809589,0.42235668444444435
49,31.834819,0.4311996897222221
50,31.858812,0.44004935972222214
51,31.886667000000003,0.4489067672222221
52,31.896468000000002,0.4577668972222221
53,31.882687999999998,0.4666231994444443
54,31.908812,0.47548675833333315
55,31.919532,0.4843532949999998
56,31.956958999999998,0.4932302280555554
57,31.941228,0.5021027913888887
58,31.942433,0.5109756894444443
59,31.929773,0.5198450708333331
60,31.91051,0.5287091013888887
61,31.921846000000002,0.5375762808333331
62,31.896946,0.5464365436111109
63,31.927281,0.5553052327777775
64,31.942387999999998,0.5641781183333331
65,31.939215,0.5730501224999998
66,31.944174,0.5819235041666665
67,31.932876,0.5907937474999998
68,31.918489,0.5996599944444443
69,31.935567,0.6085309852777776
70,31.956927,0.6174079094444443
71,31.96143,0.6262860844444443
72,31.954866000000003,0.635162436111111
73,31.945394,0.6440361566666665
74,31.92488,0.6529041788888887
75,31.937629,0.6617757424999998
76,31.949893,0.6706507127777775
77,31.947612,0.6795250494444443
78,31.961358,0.6884032044444442
79,31.95722,0.6972802099999997
80,31.957203,0.706157210833333
81,31.95855,0.715034585833333
82,31.942515,0.7239075066666664
83,31.984918,0.7327922061111108
84,31.977748,0.7416749138888886
85,31.970964,0.7505557372222219
86,32.436187000000004,0.7595657891666664
87,32.432035,0.7685746877777774
88,32.428568,0.777582623333333
89,32.445569,0.7865952813888885
90,32.479011,0.7956172288888884
91,32.448324,0.8046306522222217
92,32.472874,0.8136508949999995
93,32.440224,0.8226620683333329
94,32.485024,0.8316856861111106
95,32.543542,0.8407255588888884
96,32.029855,0.8496227408333329
97,32.065482,0.8585298191666663
98,32.087603,0.8674430422222218
99,32.086639,0.8763559974999996
100,32.097333,0.8852719233333329
101,32.1083,0.8941908955555551
102,32.102381,0.9031082236111108
103,32.107098,0.912026861944444
104,32.093264,0.9209416574999997
105,32.115952,0.9298627552777774
106,32.192084,0.938805000833333
107,32.191949,0.9477472088888885
108,32.185809,0.9566877113888885
109,32.197205000000004,0.9656313794444441
110,32.187572,0.9745723716666662
111,32.199565,0.9835166952777773
112,32.221058,0.9924669891666662
113,32.228206,1.0014192686111105
114,32.226116000000005,1.0103709674999994
115,32.217578,1.0193202947222215
116,32.174872,1.0282577591666662
117,32.176919000000005,1.0371957922222217
118,32.195733,1.0461390513888882
119,32.242958,1.0550954286111105
120,32.248324000000004,1.0640532963888882
121,32.261846,1.0730149202777772
122,32.269518,1.0819786752777771
123,32.282903,1.0909461483333327
124,32.355249,1.0999337174999995
125,32.323873,1.1089125711111105
126,32.344994,1.117897291666666
127,32.351874,1.1268839233333328
128,32.3542,1.1358712011111105
129,32.364341,1.1448612958333326
130,32.362604,1.153850908055555
131,32.375371,1.162844066666666
132,32.398007,1.171843513055555
133,32.414694,1.1808475947222214
134,32.393917,1.1898459049999994
135,32.415439,1.1988501936111107
136,32.41026,1.2078530436111106
137,32.411085,1.2168561227777772
138,32.42323,1.225862575555555
