training_iteration,training_iteration_time_s,cumulative_training_hours,number_of_agents
1,14.212487,0.003947913055555556,1.0
2,14.025461,0.007843874444444444,1.0
3,13.975669,0.011726004722222221,1.0
4,13.933166,0.015596328611111111,1.0
5,14.022465,0.019491457777777776,1.0
6,13.983197,0.023375679166666666,1.0
7,13.965049,0.027254859444444442,1.0
8,13.972372,0.03113607388888889,1.0
9,13.954494,0.03501232222222222,1.0
10,13.928245,0.038881279166666664,1.0
11,13.881064,0.04273713027777778,1.0
12,13.90062,0.04659841361111111,1.0
13,13.949806,0.05047335972222222,1.0
14,13.957902,0.054350554722222215,1.0
15,13.919188,0.058216995833333327,1.0
16,13.929415,0.062086277777777775,1.0
17,13.936607,0.0659575575,1.0
18,13.926105,0.06982592,1.0
19,13.930622,0.07369553722222223,1.0
20,13.951429000000001,0.07757093416666667,1.0
21,13.994626,0.08145833027777778,1.0
22,13.980803,0.08534188666666667,1.0
23,13.944085,0.0892152436111111,1.0
24,14.013992,0.09310801916666665,1.0
25,14.001477999999999,0.0969973186111111,1.0
26,14.003296,0.10088712305555554,1.0
27,14.000816,0.1047762386111111,1.0
28,13.991914000000001,0.10866288138888887,1.0
29,14.018807,0.11255699444444442,1.0
30,14.015063,0.11645006749999998,1.0
31,13.988515999999999,0.12033576638888888,1.0
32,13.979385,0.12421892888888886,1.0
33,13.969605,0.1280993747222222,1.0
34,13.891712,0.13195818361111109,1.0
35,13.902607,0.13582001888888887,1.0
36,13.928554,0.13968906166666664,1.0
37,13.958252,0.14356635388888886,1.0
38,13.959871999999999,0.1474440961111111,1.0
39,13.924935,0.1513121336111111,1.0
40,13.934736000000001,0.1551828936111111,1.0
41,13.923167,0.15905044000000002,1.0
42,13.925571,0.16291865416666668,1.0
43,13.922868000000001,0.1667861175,1.0
44,13.949503,0.17066097944444447,1.0
45,13.978565,0.17454391416666667,1.0
46,13.957435,0.17842097944444446,1.0
47,13.926661,0.18228949638888892,1.0
48,13.927099,0.186158135,1.0
49,13.923048000000001,0.19002564833333335,1.0
50,13.915009,0.19389092861111115,1.0
51,13.91226,0.1977554452777778,1.0
52,13.920111,0.2016221427777778,1.0
53,13.947274,0.20549638555555558,1.0
54,13.940245999999998,0.20936867611111112,1.0
55,13.912396000000001,0.2132332305555556,1.0
56,13.896502,0.21709337000000006,1.0
57,13.888917,0.22095140250000006,1.0
58,13.901219999999999,0.22481285250000005,1.0
59,13.922346,0.22868017083333336,1.0
60,13.930852999999999,0.23254985222222224,1.0
61,13.98193,0.23643372166666668,1.0
62,13.971577,0.2403147152777778,1.0
63,13.935051999999999,0.24418556305555558,1.0
64,13.925933,0.24805387777777782,1.0
65,13.907176,0.25191698222222225,1.0
66,13.906343000000001,0.2557798552777778,1.0
67,13.962984,0.2596584619444445,1.0
68,14.014541,0.26355139000000005,1.0
69,14.066886,0.2674588583333334,1.0
70,14.081932,0.2713705061111112,1.0
71,14.083350000000001,0.27528254777777783,1.0
72,14.098013000000002,0.2791986625000001,1.0
73,14.107661,0.2831174572222223,1.0
74,14.097987999999999,0.2870335650000001,1.0
75,14.078463,0.2909442491666668,1.0
76,14.079066000000001,0.29485510083333344,1.0
77,14.040197000000001,0.29875515555555565,1.0
78,13.996347,0.30264302972222235,1.0
79,13.923897,0.306510778888889,1.0
80,13.893681,0.3103701347222223,1.0
81,13.843394,0.3142155219444445,1.0
82,13.81917,0.3180541802777779,1.0
83,13.778651,0.32188158333333344,1.0
84,13.745798,0.32569986055555566,1.0
85,13.784552,0.3295289027777779,1.0
86,13.763047,0.333351971388889,1.0
87,13.724778,0.33716440972222234,1.0
88,13.689407,0.3409670227777779,1.0
89,13.703294,0.3447734933333334,1.0
90,13.670521,0.3485708602777779,1.0
91,13.649087999999999,0.35236227361111117,1.0
92,13.633433,0.3561493383333334,1.0
93,13.691079,0.3599524158333334,1.0
94,13.72884,0.36376598250000003,1.0
95,13.684359,0.3675671933333334,1.0
96,13.682364,0.37136785000000005,1.0
97,13.676887,0.37516698527777786,1.0
98,13.680681,0.37896717444444455,1.0
99,13.64282,0.38275684666666676,1.0
100,13.654632,0.3865498000000001,1.0
101,13.688932000000001,0.3903522811111112,1.0
102,13.702099,0.3941584197222224,1.0
103,13.643863999999999,0.39794838194444454,1.0
104,13.622481,0.4017324044444446,1.0
105,13.660328,0.4055269400000001,1.0
106,13.675347,0.40932564750000017,1.0
107,13.699047,0.4131309383333335,1.0
108,13.684566,0.4169322066666668,1.0
109,13.747861,0.4207510569444446,1.0
110,13.744049,0.42456884833333347,1.0
111,13.741854,0.42838603000000014,1.0
112,13.750119,0.43220550750000014,1.0
113,13.766343999999998,0.43602949194444457,1.0
114,13.76243,0.4398523891666668,1.0
115,13.736865,0.44366818500000016,1.0
116,13.740774,0.4474850666666669,1.0
117,13.775482,0.45131158944444466,1.0
118,13.788561,0.455141745277778,1.0
119,13.743189000000001,0.458959297777778,1.0
120,13.762148999999999,0.46278211694444465,1.0
121,13.748278,0.46660108305555575,1.0
122,13.748726000000001,0.4704201736111113,1.0
123,13.759977999999998,0.47424238972222243,1.0
124,13.789962,0.47807293472222245,1.0
125,13.830423000000001,0.48191471888888915,1.0
126,13.830531,0.48575653305555583,1.0
127,13.790452,0.48958721416666695,1.0
128,13.804824,0.49342188750000027,1.0
129,13.809372,0.4972578241666669,1.0
130,13.795463,0.5010898972222225,1.0
131,13.792895,0.5049212569444447,1.0
132,13.785110000000001,0.508750454166667,1.0
133,14.807307000000002,0.5128635950000003,1.24
134,15.982185,0.5173030908333336,1.63
135,17.128087,0.5220608927777781,1.91
136,18.303701,0.527145254166667,2.0
137,19.521454000000002,0.5325678802777781,2.0
138,20.692629,0.5383158327777781,2.0
139,21.876783,0.5443927169444447,2.0
140,23.100945,0.5508096461111114,2.0
141,24.278136999999997,0.5575535730555558,2.0
142,25.460434,0.5646259158333337,2.0
143,25.629841,0.5717453161111115,2.0
144,25.653475999999998,0.578871281666667,2.0
145,25.648999,0.5859960036111114,2.0
146,25.704998,0.5931362808333337,2.0
147,26.481825,0.6004923433333337,2.0
